ID,LotArea
0,7595.043388722202
1,8483.32593833224
2,9390.227901845064
3,12387.455251631167
4,11066.060143135459
5,9342.800239721168
6,9544.539475019359
7,9034.493568873468
8,12997.364161685697
9,9221.943510672132
10,2771.625867362139
11,8853.765031797395
12,7073.630418084101
13,5297.128416416475
14,23070.003718707347
15,11160.955939800457
16,8740.077313373167
17,2749.6140263727884
18,15577.151754894592
19,7525.189515216432
20,2982.21665961654
21,7916.767992912655
22,11194.717296852654
23,8574.962019155204
24,19433.053292327397
25,8594.78567665524
26,13084.866744301533
27,7945.162819637246
28,5479.816167759855
29,9117.766611373163
30,8553.608553781645
31,11013.347505812062
32,9832.063944036916
33,6639.056133950811
34,10273.441568126867
35,9134.251371414503
36,9726.583974940897
37,18366.042300605764
38,8421.980741186106
39,21756.97134796759
40,9835.653720394708
41,9375.217346681986
42,9221.943510672132
43,9716.672270838651
44,11179.752968878465
45,9249.57630203965
46,10855.797769753413
47,9335.652410804514
48,6602.122310162063
49,5329.333976180525
50,9241.428498244062
51,9058.111228965394
52,9002.502517895431
53,10052.922403315406
54,11263.481111682691
55,8707.93778652585
56,9617.94062578276
57,9140.557595953293
58,3531.2565398113275
59,6086.555653934663
60,8113.1725372788305
61,11438.489782095225
62,7766.0532161733545
63,8611.407380333074
64,9616.852685872958
65,11283.762275670177
66,8394.614353000175
67,18218.724341960737
68,9017.632691326231
69,3018.2934780687215
70,15796.188123634625
71,9598.238759575663
72,9322.097109414624
73,9210.657401201177
74,9567.45578412175
75,2793.0915398605007
76,13121.649960948904
77,8942.821519925246
78,11244.316951989571
79,21943.034145770678
80,9801.217128522325
81,8594.78567665524
82,9054.429211443494
83,11922.886867467274
84,11092.906701763857
85,10457.289903863108
86,11279.165256817176
87,11527.213459105275
88,27868.44753915191
89,22492.838439567586
90,5194.667833640729
91,14235.96982579465
92,8570.203074020093
93,8768.48845017133
94,7784.828945360533
95,10771.935149264727
96,9160.006168874947
97,8742.044803190105
98,8194.634777772759
99,9375.217346681986
100,9272.533416745406
101,20430.83909988751
102,9824.118313210292
103,5549.124875070705
104,9862.798850199917
105,7890.580622040618
106,6639.169971788995
107,2711.5939947588913
108,2749.8987769264872
109,12496.6372062584
110,11174.548388672605
111,10240.74114420089
112,9863.42465735921
113,11231.595027875244
114,6277.158353375448
115,7430.217369636373
116,2674.546333131963
117,11367.820156176036
118,35921.04172021525
119,9272.289730841947
120,8594.78567665524
121,11318.345092845218
122,8437.674269821817
123,10655.550578600827
124,9627.669224011835
125,8083.572398903586
126,18597.422800560456
127,6616.787264808588
